Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longtitude,altitude,utm_easting,utm_northing,zone,letter
1695870998.2740636,76,153018,0,GPS1_Frame,42.337680166666665,71.08538183333333,63.4,671793.8483098522,4689375.67130286,42,T
1695871006.2851458,77,153019,0,GPS1_Frame,42.33769533333334,71.08537616666668,63.0,671793.3401681916,4689377.34399657,42,T
1695871014.296526,78,153020,0,GPS1_Frame,42.33770500000001,71.08537166666666,62.6,671792.9431183564,4689378.408314411,42,T
1695871022.307154,79,153021,0,GPS1_Frame,42.337703,71.085364,62.5,671792.3169583074,4689378.170740211,42,T
1695871030.3153217,80,153022,0,GPS1_Frame,42.33770533333333,71.0853555,63.2,671791.6103448992,4689378.412666015,42,T
1695871038.3248188,81,153023,0,GPS1_Frame,42.337704833333326,71.08535266666667,63.9,671791.3782867194,4689378.351420502,42,T
1695871046.337352,82,153024,0,GPS1_Frame,42.33770733333334,71.08534466666667,64.2,671790.7124112289,4689378.612863635,42,T
1695871054.3482902,83,153025,0,GPS1_Frame,42.337709,71.085337,64.1,671790.0762662309,4689378.78244497,42,T
1695871062.3597763,84,153026,0,GPS1_Frame,42.337719500000006,71.08533166666666,64.6,671789.608294816,4689379.937614674,42,T
1695871070.3696265,85,153027,0,GPS1_Frame,42.337731,71.08532766666667,64.2,671789.2474449547,4689381.206520539,42,T
1695871078.379922,86,153028,0,GPS1_Frame,42.33773966666666,71.085327,63.9,671789.1689221035,4689382.167540806,42,T
1695871086.3923888,87,153029,0,GPS1_Frame,42.3377495,71.08532133333333,63.7,671788.6753053186,4689383.248008886,42,T
1695871094.4022744,88,153030,0,GPS1_Frame,42.33775666666667,71.08532016666666,64.0,671788.55967556,4689384.041455453,42,T
1695871102.4129214,89,153031,0,GPS1_Frame,42.33776566666667,71.08531033333334,63.7,671787.7250642227,4689385.020970298,42,T
1695871110.4245338,90,153032,0,GPS1_Frame,42.33776833333333,71.08530116666667,64.0,671786.9626217212,4689385.298563796,42,T
1695871118.4305959,91,153033,0,GPS1_Frame,42.33778216666666,71.08529216666668,63.6,671786.183501899,4689386.816467159,42,T
1695871126.4437697,92,153034,0,GPS1_Frame,42.33779066666666,71.08528150000001,62.8,671785.2815999701,4689387.73877752,42,T
1695871134.4539697,93,153035,0,GPS1_Frame,42.33779583333333,71.08527283333333,62.5,671784.5535418446,4689388.294987323,42,T
1695871142.4645898,94,153036,0,GPS1_Frame,42.337804000000006,71.08525816666666,62.2,671783.3230147344,4689389.172202715,42,T
1695871150.4767525,95,153037,0,GPS1_Frame,42.337817333333334,71.0852445,61.9,671782.1608022063,4689390.625157443,42,T
1695871158.4875717,96,153038,0,GPS1_Frame,42.33782766666666,71.08522883333333,61.4,671780.8419926402,4689391.7409447925,42,T
1695871166.4971995,97,153039,0,GPS1_Frame,42.3378395,71.0852225,60.3,671780.288009519,4689393.042151327,42,T
1695871174.5072758,98,153040,0,GPS1_Frame,42.337846166666665,71.085212,59.9,671779.4048318532,4689393.761221442,42,T
1695871182.5191982,99,153041,0,GPS1_Frame,42.33786966666666,71.0852055,59.4,671778.8053503633,4689396.357585638,42,T
1695871190.5288026,100,153042,0,GPS1_Frame,42.33787916666667,71.0851935,59.5,671777.7908833155,4689397.3882456655,42,T
1695871198.5398924,101,153043,0,GPS1_Frame,42.33789016666666,71.08519016666668,59.2,671777.486319893,4689398.602977696,42,T
1695871206.5506587,102,153044,0,GPS1_Frame,42.3379015,71.085189,59.4,671777.359345811,4689399.859100946,42,T
1695871214.5604742,103,153045,0,GPS1_Frame,42.33791783333333,71.08518416666668,58.2,671776.9166852881,4689401.663028662,42,T
1695871222.5726383,104,153046,0,GPS1_Frame,42.33792149999999,71.08518133333334,58.7,671776.6732821163,4689402.064460139,42,T
1695871230.5833726,105,153047,0,GPS1_Frame,42.33793083333333,71.08517433333333,58.4,671776.0711857373,4689403.086714272,42,T
1695871238.5950167,106,153048,0,GPS1_Frame,42.33794233333333,71.085163,58.6,671775.1061962192,4689404.340806177,42,T
1695871246.604883,107,153049,0,GPS1_Frame,42.33795633333334,71.08515533333333,58.5,671774.4364711551,4689405.879911372,42,T
1695871254.6174853,108,153050,0,GPS1_Frame,42.33796183333334,71.08515116666668,58.2,671774.078232075,4689406.482227057,42,T
1695871262.6275716,109,153051,0,GPS1_Frame,42.33796866666667,71.085145,57.9,671773.551596289,4689407.228558942,42,T
1695871270.6381524,110,153052,0,GPS1_Frame,42.33797316666667,71.08513716666667,57.9,671772.8940089107,4689407.712425101,42,T
1695871278.6499412,111,153053,0,GPS1_Frame,42.337985499999995,71.08513016666667,57.7,671772.2837448225,4689409.067806639,42,T
1695871286.6597912,112,153054,0,GPS1_Frame,42.33799066666667,71.08512633333333,58.2,671771.9538747313,4689409.633781681,42,T
1695871294.669579,113,153055,0,GPS1_Frame,42.33800133333334,71.08511216666668,58.3,671770.7577371908,4689410.789615133,42,T
1695871302.6806,114,153056,0,GPS1_Frame,42.33801583333334,71.0851005,57.6,671769.757120011,4689412.376161452,42,T
1695871310.6925604,115,153057,0,GPS1_Frame,42.33803216666667,71.08507983333334,56.5,671768.0100642145,4689414.148104742,42,T
1695871318.7042158,116,153058,0,GPS1_Frame,42.33804666666666,71.0850615,56.3,671766.4602281023,4689415.721184269,42,T
1695871326.716673,117,153059,0,GPS1_Frame,42.33805466666666,71.08505016666666,55.4,671765.5047717267,4689416.586629132,42,T
1695871334.726454,118,153100,0,GPS1_Frame,42.3380645,71.08503266666666,54.6,671764.0362954667,4689417.64319484,42,T
1695871342.7356517,119,153101,0,GPS1_Frame,42.33806566666667,71.08501666666666,54.5,671762.7149913062,4689417.740423704,42,T
1695871350.7457662,120,153102,0,GPS1_Frame,42.33808316666667,71.08500466666666,54.1,671761.6787476713,4689419.659424871,42,T
1695871358.7583683,121,153103,0,GPS1_Frame,42.33809883333333,71.08498133333333,53.4,671759.7138230179,4689421.351955181,42,T
1695871366.770297,122,153104,0,GPS1_Frame,42.33811333333333,71.08496383333333,52.6,671758.2326427576,4689422.926719772,42,T
